INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
47	3	20400020	0	40	0	77	8000	0	20400097	0	40	0	77	10000	0	20400098	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
48	3	20400022	0	40	0	77	8000	0	20400097	0	40	0	77	10000	0	20400098	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
49	3	20400024	0	40	0	77	8000	0	20400115	0	40	0	77	10000	0	20400116	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
50	3	20400027	0	40	0	77	8000	0	20400115	0	40	0	77	10000	0	20400116	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
51	3	20400026	0	40	0	77	8000	0	20400085	0	40	0	77	10000	0	20400086	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
52	3	20400019	0	40	0	77	8000	0	20400085	0	40	0	77	10000	0	20400086	0	40	0	77	14000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	8000	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0	0	0	0	40	0	77	0
53	3	20400031	0	40	0	78	10000	0	20400071	0	40	0	78	12500	0	20400065	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
54	3	20400031	0	40	0	78	10000	0	20400071	0	40	0	78	12500	0	20400065	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
55	3	20400029	0	40	0	78	10000	0	20400077	0	40	0	78	12500	0	20400079	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
56	3	20400029	0	40	0	78	10000	0	20400077	0	40	0	78	12500	0	20400079	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
57	3	20400033	0	40	0	78	10000	0	20400091	0	40	0	78	12500	0	20400092	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
58	3	20400033	0	40	0	78	10000	0	20400091	0	40	0	78	12500	0	20400092	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
59	3	20400028	0	40	0	78	10000	0	20400099	0	40	0	78	12500	0	20400100	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
60	3	20400028	0	40	0	78	10000	0	20400099	0	40	0	78	12500	0	20400100	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
61	3	20400034	0	40	0	78	10000	0	20400105	0	40	0	78	12500	0	20400106	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
62	3	20400034	0	40	0	78	10000	0	20400105	0	40	0	78	12500	0	20400106	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
63	3	20400032	0	40	0	78	10000	0	20400109	0	40	0	78	12500	0	20400110	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
64	3	20400032	0	40	0	78	10000	0	20400109	0	40	0	78	12500	0	20400110	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
65	3	20400035	0	40	0	78	10000	0	20400111	0	40	0	78	12500	0	20400112	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
66	3	20400035	0	40	0	78	10000	0	20400111	0	40	0	78	12500	0	20400112	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
67	3	20400036	0	40	0	78	10000	0	20400117	0	40	0	78	12500	0	20400118	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
68	3	20400036	0	40	0	78	10000	0	20400117	0	40	0	78	12500	0	20400118	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
69	3	20400030	0	40	0	78	10000	0	20400087	0	40	0	78	12500	0	20400088	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
70	3	20400030	0	40	0	78	10000	0	20400087	0	40	0	78	12500	0	20400088	0	40	0	78	17500	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	10000	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0	0	0	0	40	0	78	0
71	3	20400054	0	40	0	79	12000	0	20400064	0	40	0	79	15000	0	20400070	0	40	0	79	21000	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	12000	0	0	0	40	0	79	12000	0	0	0	40	0	79	12000	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0
72	3	20400058	0	40	0	79	12000	0	20400064	0	40	0	79	15000	0	20400070	0	40	0	79	21000	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	12000	0	0	0	40	0	79	12000	0	0	0	40	0	79	12000	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0	0	0	0	40	0	79	0
